data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,11:13:11,364.18124,457.29855,248.95993,0.8042424352545487,1958.1748,211.5974924999755,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,13:33:11,364.18124,457.29855,248.95993,0.8042424352545487,1958.1748,236.6282416000031,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,13:50:0,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,219.86417970014736,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,14:42:27,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,178.27939050015993,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,15:28:1,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,284.92566569987684,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,0:35:29,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,32500.256724499865,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,1:35:5,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,212.4127553999424,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,1:51:44,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,209.65438510011882,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,2:11:50,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,206.46973620005883,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,0:54:39,360.25534,460.72794,243.3825,0.8215961456298828,2015.4044,272.17320040008053,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,c:\Users\Andrew\Research\Ribeiro\Ribeiro_Github\GNN\DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
